Gene1,Gene2,Label
GPNMB,BAP1,1
GPR34,CARD16,0
ELF5,TGFB2,1
LILRB2,NCR2,1
CRMP1,DLX5,1
TSHB,ADGRG1,1
PRPF8,SFPQ,1
BTN2A1,CARD16,0
ZFP36L2,CREG1,1
ANKRD28,USP28,0
KRT81,CSF1R,0
RNF182,IFNA5,0
ARL6IP5,CYB5A,0
RAD51D,CELF2,0
ADRB3,APOM,1
TACSTD2,PA2G4,1
CHRM5,NDP,1
PCSK6,CD70,1
B4GALT1,FGFRL1,0
DHX30,GPHA2,0
PIM2,CREG1,1
CLTA,C4orf27,0
CNTN6,ITGB7,1
WNT8A,WDR4,0
CTNND1,XRCC4,0
EGFR,TNFRSF13B,1
OCRL,GDE1,1
PIP4K2C,OR2D3,0
MAPRE1,KIF15,1
GZMB,PDCD1,1
TBC1D20,CCT4,0
PAWR,SGPL1,1
FOXN1,MED27,1
SF3B3,TCEB2,1
ANXA5,SERPINB2,1
MED1,MED27,1
POMC,AVPR1A,1
CRHR1,CIITA,1
HMGB1,BNIP3,1
MAPK9,TP53I11,1
EYA3,RPE65,1
FPR2,LAMC1,1
CYP46A1,APLP1,1
DUSP15,VAMP7,0
TMF1,MYL12B,0
ZNF420,CRYAB,0
CEBPA,POLR2D,1
PTCD3,CDY1B,0
LRP1,UBE2V2,1
MOG,SH3GL3,1
ITGA11,MAGI1,1
GRXCR1,KRTAP5-7,0
KCNA3,KCNJ12,1
ITGA3,PPFIA2,1
KLRG1,MNDA,1
KLHL41,SMPX,1
CXCL8,TNFRSF8,1
GCG,OSMR,1
OR14C36,ITGAX,0
LY96,MPL,1
SSRP1,WDR4,0
FAT1,TNC,1
VHL,CALCOCO2,0
PCDHAC2,CD9,1
PLK1,S100B,1
APOF,MBTPS2,1
CXCL10,RNASE2,1
GBE1,APOM,1
TUBA1B,IGKV2D-30,0
GALNT9,KRTAP10-8,0
TNC,RS1,1
LSM5,PTBP1,1
MYL1,CNPY3,0
IFNAR2,IFNGR2,1
PYCARD,RPS3A,1
CKLF,REG1B,1
KIF15,RBBP7,1
FAM109B,ADD3,0
ADRA1D,PYY,1
PRICKLE1,ALMS1,0
EFNB3,AR,1
KCNJ10,KCNJ12,1
FGF8,HOXA1,1
EEF1AKMT1,SLU7,0
ID4,NEUROD2,1
LPCAT3,MIA3,0
CLK1,ABL1,1
KLRC3,HOXD4,0
DSTYK,PLA2G3,0
MCM3AP,SPAG5,0
MEPE,RPS6KA3,1
NR5A2,HCN3,0
UGT1A9,STX12,0
ASB6,ORMDL2,0
ANXA2,FUNDC1,0
IGSF6,CLEC4A,1
METTL10,GABARAPL2,0
IVNS1ABP,MYO1D,0
ZMYND11,CREG1,1
ATXN3,APOBEC1,0
PCDHA11,CCL2,1
MMP9,CASP5,1
NUDT1,SLC5A11,0
IFNA2,TDP2,1
SNX14,EPHA10,0
CDK8,SCN2A,0
SLC7A8,DDX19B,0
STX1A,WFIKKN1,0
KDM4C,MMP11,0
ACO2,SLC25A27,1
TAF5L,AFF4,1
PHKA2,SYNM,0
SMARCC2,TCEB1,1
RHOG,MTCP1,1
HTT,EI24,1
GALNT10,ABI1,0
FGFR3,SHOX,1
FGF4,VEGFC,1
DRP2,PTS,1
DCANP1,OR13C2,0
UQCC2,CDSN,0
CHD3,SMARCC2,1
WIPF1,SCGB3A2,0
FXYD1,SEPT9,0
ITGB3BP,FEZ1,1
FGF8,EHF,1
ISG20,TNFRSF17,1
NFKBIA,CGB7,1
HSD17B7,COL5A2,0
PMCH,RPGRIP1L,0
CCL26,FPR2,1
MBOAT1,OR6C3,0
HRH1,BCL6,1
SREBF2,SUPT3H,1
NCF4,VIPR1,1
TAF6L,KLF9,1
CHPF2,IGKV2D-30,0
NRIP1,FOXH1,1
CCL28,OR12D2,0
NLRP14,INHBB,0
PECR,ADPRH,0
DLG4,MBP,1
TRPV1,CD19,1
FAM3B,FAAH2,0
GALNT5,CHGA,0
PIH1D3,SGMS1,0
PCOLCE,RUNX1,1
ARL6IP1,SEMA3F,0
MKI67,CCND3,1
CIB1,ITGB1BP1,1
ZNF425,VPS11,0
TIAL1,CD70,1
BRCA1,CREG1,1
GPC6,NPAT,0
KRTAP21-2,PGAM1,0
ABCD4,ABCG2,1
MAFA,NAT2,0
PRL,IFITM1,1
SNX10,KCNH2,0
ARHGDIB,ADRB3,0
PRELID1,IK,1
RDH10,EML2,1
HBG1,KIF24,0
JAK2,VNN2,1
TMED1,SIRPG,1
MXD4,ZNF177,1
GLMN,KRT9,0
MTIF3,DOK4,0
SLC25A11,PEA15,1
TCEB1,MED7,1
NMRAL1,COPS6,0
FSCN2,RDH5,1
PAFAH1B3,SEMA5A,1
PAQR3,RPL18A,0
CRYGD,EML2,1
EHF,TCF19,1
CDS1,RDH5,1
ETNK2,CHMP2B,0
